ID,Merchant Name,Target URL,Support Deep Link,Launch Date,,,,,,
3877,PerfectMemorials.com,https://www.perfectmemorials.com/,Y,07-06-2018,,,,,,
39847,Treatless Dog Training Secrets By Anthony Louis,https://wonderabbar.com/dog-training-secret?hop=yieldkit&vendor=anth1155,N,11-03-2022,,,,,,
39903,Wholesale Designer Handbag Directory,https://www.wholesaledesignerhandbags.com/?hop=yieldkit&vendor=whldeshand,N,11-03-2022,,,,,,
40389,V4ink,http://v4ink.com,Y,11-03-2022,,,,,,
40475,Urban Worm Company,https://shop.urbanwormcompany.com,N,11-03-2022,,,,,,
40502,"Stop Wasting Money On Dating Russian, Ukrainian Wo",http://www.womenrussia.com/book/?hop=yieldkit&vendor=petrova,N,11-03-2022,,,,,,
40615,XTAR Technology Inc.,http://xtardirect.com,Y,11-03-2022,,,,,,
40708,Full Urticaria Cure By Dr Gary MD,http://www.urticariahivestreatment.com,N,11-03-2022,,,,,,
40892,Make Money From Youtube Without Creating Your Own,http://video-creatox.com,N,11-03-2022,,,,,,
40930,UBCO Bikes,http://www.ubcobikes.com/us,N,11-03-2022,,,,,,
40953,VPN.asia,https://vpn.asia,N,11-03-2022,,,,,,
41477,Twin Flame Reunion Fast Track Course Improved Copy,http://twinflameguides.com,N,11-03-2022,,,,,,
41756,Divorce Advice For Women,http://www.womansdivorce.com/divorce-advice.html?hop=yieldkit&vendor=wdivorce,N,11-03-2022,,,,,,
41954,Urbody Functional Fashion,http://urbody.co,Y,11-03-2022,,,,,,
41989,TwoStick Frames by Chirpwood,https://twostickframes.com,N,11-03-2022,,,,,,
42144,FitMyFoot,https://wiivv.com,Y,11-03-2022,,,,,,
42541,Wii Fix Guide,http://www.wiifixguide.com,N,11-03-2022,,,,,,
42569,Essentials For Starting A Women''s Group,http://www.womens-group.net?hop=yieldkit&vendor=womensgrp,N,11-03-2022,,,,,,
42748,Wholeman Lifestyle,http://wholemanlifestyle.com,N,11-03-2022,,,,,,
42871,UberAppliance,https://uberappliance.com,Y,11-03-2022,,,,,,
43069,Xendoo Online Accounting,https://xendoo.com,Y,11-03-2022,,,,,,
43130,rotita.com,http://wholesaleitonline.com,Y,11-03-2022,,,,,,
43333,Underground Witchcraft Secrets,http://www.whyte-witch.com/a/?hop=yieldkit&vendor=powerofyou,N,11-03-2022,,,,,,
43607,Guardian Angel Personalized System. High Conversio,http://whoaremyguardianangels.com,N,11-03-2022,,,,,,
43941,XIO By Ylette,https://xiobyylette.com,N,11-03-2022,,,,,,
44072,XTERRA Fitness,http://www.xterrafitness.com,Y,11-03-2022,,,,,,
44183,Widg.io,https://www.widg.io,N,11-03-2022,,,,,,
44237,Invicto Marketing Inc,http://woken.coffee,Y,11-03-2022,,,,,,
44466,Wall Street Forex Robot,http://www.wallstreet-forex.com,N,11-03-2022,,,,,,
44657,The X-Factor Revolution,http://www.xfactorrevolution.com/newdiscovery,N,11-03-2022,,,,,,
44720,Video Surgeon: The Hottest Guitar Learning Tool On,http://videosurgeon.net/jv/cb,N,11-03-2022,,,,,,
44940,Uber Optin,https://uberwp.com,N,11-03-2022,,,,,,
45152,About Wall Decor,http://wallhogs-wall-decor.com,N,11-03-2022,,,,,,
45542,Videly - Rank On Page #1 - $10+ Epc,https://videly.com/?hop=yieldkit&vendor=videly,N,11-03-2022,,,,,,
45668,Zatik Inc.,http://zatiknaturals.com,Y,11-03-2022,,,,,,
45685,Concealed Carry Brave Response Gun Holster,http://sales.usafirearmtraining.com/brh-cb1?hop=0,N,11-03-2022,,,,,,
45712,Audio Crystal Therapy,http://www.xrystals.com/cb.php?hop=yieldkit&vendor=xrystal,N,11-03-2022,,,,,,
45742,"US Business Funding - Small Business Loans, Workin",https://www.usbfund.com,Y,11-03-2022,,,,,,
45759,WhisprCBD,https://whisprcbd.com,Y,11-03-2022,,,,,,
45895,"Always Eat After 7pm Free Book, Huge Conversions!",http://xtremefatlossdiet.com/special/xtreme2017.php,N,11-03-2022,,,,,,
